state_name,city,avg_daily_temperature
Arkansas,Portland,7.8
Arkansas,Bismarck,-3.63
Georgia,Omaha,-1.13
Georgia,Fargo,-4.79
Idaho,Aberdeen,-4.02
Kentucky,Omaha,-1.13
Maine,Portland,7.8
Michigan,Portland,7.8
Michigan,Houghton,-3.7
Minnesota,Duluth,-3.38
Mississippi,Aberdeen,-4.02
Missouri,Portland,7.8
Missouri,Glasgow,-2.06
Montana,Great Falls,1.37
Nebraska,Omaha,-1.13
Nebraska,Grand Island,-1.99
North Dakota,Bismarck,-3.63
North Dakota,Fargo,-4.79
Ohio,Portland,7.8
Oregon,Portland,7.8
South Dakota,Sioux Falls,-2.42
South Dakota,Houghton,-3.7
South Dakota,Aberdeen,-4.02